model_name,target_batch_size,layer_index,layer_name,conv_type_basic,layer_type_for_experiment,input_shape,output_shape,N,Cin,Cout,Hin,Win,Hout,Wout,Kh,Kw,stride_h,stride_w,padding_h,padding_w,dilation_h,dilation_w,groups,weight_elements,input_elements,output_elements,theoretical_FLOPs,theoretical_memory_bytes,theoretical_OI_FLOPs_per_byte,ridge_point_used,roofline_class_theoretical,notes
efficientnet_b7,8,76,features.3.4.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,77,features.3.5.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,78,features.3.5.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,79,features.3.5.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,80,features.3.5.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,81,features.3.5.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,82,features.3.6.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,83,features.3.6.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 28, 28)",8,480,480,28,28,28,28,5,5,1,1,2,2,1,1,480,12000,3010560,3010560,150528000,24132480,6.2375686212,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,84,features.3.6.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,85,features.3.6.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,86,features.3.6.block.3.0,pointwise,pointwise_project,"(8, 480, 28, 28)","(8, 80, 28, 28)",8,480,80,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,3010560,501760,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,87,features.4.0.block.0.0,pointwise,pointwise_expand,"(8, 80, 28, 28)","(8, 480, 28, 28)",8,80,480,28,28,28,28,1,1,1,1,0,0,1,1,1,38400,501760,3010560,481689600,14202880,33.9149242970,32.3700000000,transition,shape_source=forward_hook
efficientnet_b7,8,88,features.4.0.block.1.0,depthwise,depthwise,"(8, 480, 28, 28)","(8, 480, 14, 14)",8,480,480,28,28,14,14,3,3,2,2,1,1,1,1,480,4320,3010560,752640,13547520,15070080,0.8989680214,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,89,features.4.0.block.2.fc1,pointwise,pointwise_project,"(8, 480, 1, 1)","(8, 20, 1, 1)",8,480,20,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,3840,160,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,90,features.4.0.block.2.fc2,pointwise,pointwise_expand,"(8, 20, 1, 1)","(8, 480, 1, 1)",8,20,480,1,1,1,1,1,1,1,1,0,0,1,1,1,9600,160,3840,153600,54400,2.8235294118,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,91,features.4.0.block.3.0,pointwise,pointwise_project,"(8, 480, 14, 14)","(8, 160, 14, 14)",8,480,160,14,14,14,14,1,1,1,1,0,0,1,1,1,76800,752640,250880,240844800,4321280,55.7345971564,32.3700000000,compute_bound,shape_source=forward_hook
efficientnet_b7,8,92,features.4.1.block.0.0,pointwise,pointwise_expand,"(8, 160, 14, 14)","(8, 960, 14, 14)",8,160,960,14,14,14,14,1,1,1,1,0,0,1,1,1,153600,250880,1505280,481689600,7639040,63.0563002681,32.3700000000,compute_bound,shape_source=forward_hook
efficientnet_b7,8,93,features.4.1.block.1.0,depthwise,depthwise,"(8, 960, 14, 14)","(8, 960, 14, 14)",8,960,960,14,14,14,14,3,3,1,1,1,1,1,1,960,8640,1505280,1505280,27095040,12076800,2.2435612083,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,94,features.4.1.block.2.fc1,pointwise,pointwise_project,"(8, 960, 1, 1)","(8, 40, 1, 1)",8,960,40,1,1,1,1,1,1,1,1,0,0,1,1,1,38400,7680,320,614400,185600,3.3103448276,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,95,features.4.1.block.2.fc2,pointwise,pointwise_expand,"(8, 40, 1, 1)","(8, 960, 1, 1)",8,40,960,1,1,1,1,1,1,1,1,0,0,1,1,1,38400,320,7680,614400,185600,3.3103448276,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,96,features.4.1.block.3.0,pointwise,pointwise_project,"(8, 960, 14, 14)","(8, 160, 14, 14)",8,960,160,14,14,14,14,1,1,1,1,0,0,1,1,1,153600,1505280,250880,481689600,7639040,63.0563002681,32.3700000000,compute_bound,shape_source=forward_hook
efficientnet_b7,8,97,features.4.2.block.0.0,pointwise,pointwise_expand,"(8, 160, 14, 14)","(8, 960, 14, 14)",8,160,960,14,14,14,14,1,1,1,1,0,0,1,1,1,153600,250880,1505280,481689600,7639040,63.0563002681,32.3700000000,compute_bound,shape_source=forward_hook
efficientnet_b7,8,98,features.4.2.block.1.0,depthwise,depthwise,"(8, 960, 14, 14)","(8, 960, 14, 14)",8,960,960,14,14,14,14,3,3,1,1,1,1,1,1,960,8640,1505280,1505280,27095040,12076800,2.2435612083,32.3700000000,memory_bound,shape_source=forward_hook
